[ 2026-03-08 18:07:21,708 ] INFO root:15 - Initiate the data ingestion
[ 2026-03-08 18:07:24,517 ] INFO root:64 - Performed train test split on the dataframe
[ 2026-03-08 18:07:24,517 ] INFO root:66 - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-08 18:07:24,518 ] INFO root:74 - Exporting train and test file path.
[ 2026-03-08 18:07:24,536 ] INFO root:83 - Exported train and test file path.
[ 2026-03-08 18:07:24,556 ] INFO root:17 - Data Initiation Completed
[ 2026-03-08 18:07:24,558 ] INFO root:21 - initiate the data validation
[ 2026-03-08 18:07:24,625 ] INFO root:42 - Required number of columns: 21
[ 2026-03-08 18:07:24,625 ] INFO root:43 - Dataframe has 21 columns
[ 2026-03-08 18:07:24,626 ] INFO root:42 - Required number of columns: 21
[ 2026-03-08 18:07:24,626 ] INFO root:43 - Dataframe has 21 columns
[ 2026-03-08 18:07:24,626 ] INFO root:62 - Column names validation passed
[ 2026-03-08 18:07:24,626 ] INFO root:62 - Column names validation passed
